aspect_a,aspect_b,support_a_negative,support_b_negative,support_ab_negative,p_b_negative_given_a_negative,base_b_negative_rate,lift
Service#Queue,Food#Portion,683,1787,169,0.24743777452415813,0.18087044534412955,1.3680387310009414
Food#Portion,Service#Queue,1787,683,169,0.09457190822607722,0.06912955465587045,1.3680387310009412
Ambience#Space,Service#Hospitality,774,1284,166,0.2144702842377261,0.12995951417004048,1.6502853646952758
Service#Hospitality,Ambience#Space,1284,774,166,0.1292834890965732,0.07834008097165993,1.6502853646952753
Price#Cost_effective,Ambience#Sanitary,637,848,162,0.2543171114599686,0.08582995951417004,2.9630342703118986
Ambience#Sanitary,Price#Cost_effective,848,637,162,0.19103773584905662,0.06447368421052632,2.963034270311898
Food#Taste,Price#Cost_effective,503,637,160,0.31809145129224653,0.06447368421052632,4.933663326165456
Price#Cost_effective,Food#Taste,637,503,160,0.25117739403453687,0.05091093117408907,4.933663326165456
Service#Queue,Price#Level,683,1873,160,0.2342606149341142,0.1895748987854251,1.2357153633470626
Price#Level,Service#Queue,1873,683,160,0.08542445274959957,0.06912955465587045,1.2357153633470626
Food#Recommend,Price#Level,438,1873,158,0.3607305936073059,0.1895748987854251,1.9028394366471877
Ambience#Noise,Service#Hospitality,513,1284,158,0.3079922027290448,0.12995951417004048,2.3699088496596286
Service#Hospitality,Ambience#Noise,1284,513,158,0.12305295950155763,0.051923076923076926,2.3699088496596286
Price#Level,Food#Recommend,1873,438,158,0.08435664709022958,0.04433198380566802,1.9028394366471877
Service#Queue,Service#Hospitality,683,1284,156,0.22840409956076135,0.12995951417004048,1.7575019498912168
Service#Hospitality,Service#Queue,1284,683,156,0.12149532710280374,0.06912955465587045,1.7575019498912166
Ambience#Decoration,Service#Hospitality,424,1284,154,0.3632075471698113,0.12995951417004048,2.7947745841415386
Service#Hospitality,Ambience#Decoration,1284,424,154,0.11993769470404984,0.04291497975708502,2.794774584141539
Location#Easy_to_find,Price#Level,629,1873,153,0.24324324324324326,0.1895748987854251,1.2830983679889179
Price#Level,Location#Easy_to_find,1873,629,153,0.08168713294180459,0.06366396761133604,1.2830983679889176
Location#Transportation,Location#Easy_to_find,253,629,146,0.5770750988142292,0.06366396761133604,9.06439105927597
Location#Easy_to_find,Location#Transportation,629,253,146,0.23211446740858505,0.025607287449392713,9.06439105927597
Ambience#Noise,Food#Portion,513,1787,143,0.2787524366471735,0.18087044534412955,1.5411718377582955
Ambience#Sanitary,Service#Timely,848,907,143,0.16863207547169812,0.09180161943319838,1.836918308335587
Service#Timely,Ambience#Sanitary,907,848,143,0.15766262403528114,0.08582995951417004,1.836918308335587
Food#Portion,Ambience#Noise,1787,513,143,0.0800223838836038,0.051923076923076926,1.5411718377582955
Food#Recommend,Service#Hospitality,438,1284,142,0.3242009132420091,0.12995951417004048,2.4946300800864876
Service#Hospitality,Food#Recommend,1284,438,142,0.11059190031152648,0.04433198380566802,2.4946300800864876
Ambience#Decoration,Food#Portion,424,1787,136,0.32075471698113206,0.18087044534412955,1.7733948538184583
Food#Portion,Ambience#Decoration,1787,424,136,0.07610520425293789,0.04291497975708502,1.7733948538184585
Food#Taste,Service#Timely,503,907,135,0.268389662027833,0.09180161943319838,2.923583088020937
Service#Timely,Food#Taste,907,503,135,0.14884233737596472,0.05091093117408907,2.9235830880209375
Ambience#Noise,Price#Level,513,1873,130,0.253411306042885,0.1895748987854251,1.3367344921002153
Price#Level,Ambience#Noise,1873,513,130,0.06940736785904965,0.051923076923076926,1.3367344921002153
Location#Easy_to_find,Food#Portion,629,1787,129,0.20508744038155802,0.18087044534412955,1.133891388343477
Food#Portion,Location#Easy_to_find,1787,629,129,0.07218802462227196,0.06366396761133604,1.1338913883434767
Food#Recommend,Price#Cost_effective,438,637,122,0.2785388127853881,0.06447368421052632,4.32019383095704
Food#Recommend,Ambience#Sanitary,438,848,122,0.2785388127853881,0.08582995951417004,3.2452399414146633
Price#Cost_effective,Food#Recommend,637,438,122,0.19152276295133439,0.04433198380566802,4.320193830957041
Ambience#Sanitary,Food#Recommend,848,438,122,0.14386792452830188,0.04433198380566802,3.2452399414146633
Food#Recommend,Food#Taste,438,503,117,0.2671232876712329,0.05091093117408907,5.246874914894197
Food#Taste,Food#Recommend,503,438,117,0.23260437375745527,0.04433198380566802,5.246874914894196
Price#Cost_effective,Service#Timely,637,907,114,0.17896389324960754,0.09180161943319838,1.9494633575591207
Service#Timely,Price#Cost_effective,907,637,114,0.1256890848952591,0.06447368421052632,1.9494633575591205
Price#Discount,Price#Level,228,1873,109,0.4780701754385965,0.1895748987854251,2.5218010322121374
Price#Level,Price#Discount,1873,228,109,0.05819540843566471,0.023076923076923078,2.5218010322121374
Ambience#Decoration,Price#Level,424,1873,107,0.25235849056603776,0.1895748987854251,1.3311809326174335
Price#Level,Ambience#Decoration,1873,424,107,0.057127602776294716,0.04291497975708502,1.3311809326174335
Ambience#Space,Food#Appearance,774,922,106,0.13695090439276486,0.09331983805668016,1.467543313883424
Food#Appearance,Ambience#Space,922,774,106,0.11496746203904555,0.07834008097165993,1.4675433138834237
Ambience#Decoration,Food#Appearance,424,922,105,0.24764150943396226,0.09331983805668016,2.6536855891621984
Food#Appearance,Ambience#Decoration,922,424,105,0.113882863340564,0.04291497975708502,2.653685589162199
Location#Downtown,Location#Easy_to_find,118,629,102,0.864406779661017,0.06366396761133604,13.577645442052221
Location#Easy_to_find,Location#Downtown,629,118,102,0.16216216216216217,0.01194331983805668,13.577645442052223
Ambience#Noise,Food#Appearance,513,922,100,0.1949317738791423,0.09331983805668016,2.088856752631156
Food#Appearance,Ambience#Noise,922,513,100,0.10845986984815618,0.051923076923076926,2.088856752631156
Location#Downtown,Location#Transportation,118,253,97,0.8220338983050848,0.025607287449392713,32.10156092985864
Location#Transportation,Location#Downtown,253,118,97,0.383399209486166,0.01194331983805668,32.10156092985864
Ambience#Space,Service#Timely,774,907,97,0.12532299741602068,0.09180161943319838,1.3651501813343818
Service#Timely,Ambience#Space,907,774,97,0.10694597574421169,0.07834008097165993,1.3651501813343816
Price#Cost_effective,Ambience#Space,637,774,91,0.14285714285714285,0.07834008097165993,1.823551125876707
Ambience#Space,Price#Cost_effective,774,637,91,0.11757105943152454,0.06447368421052632,1.823551125876707
Service#Queue,Ambience#Space,683,774,89,0.13030746705710103,0.07834008097165993,1.6633562978348295
Ambience#Space,Service#Queue,774,683,89,0.11498708010335917,0.06912955465587045,1.6633562978348295
Location#Easy_to_find,Ambience#Space,629,774,85,0.13513513513513514,0.07834008097165993,1.7249807947482365
Ambience#Space,Location#Easy_to_find,774,629,85,0.10981912144702842,0.06366396761133604,1.7249807947482363
Service#Queue,Food#Appearance,683,922,83,0.12152269399707175,0.09331983805668016,1.3022171547625476
Food#Appearance,Service#Queue,922,683,83,0.09002169197396963,0.06912955465587045,1.3022171547625474
Price#Discount,Service#Hospitality,228,1284,81,0.35526315789473684,0.12995951417004048,2.7336448598130842
Service#Queue,Ambience#Sanitary,683,848,81,0.11859443631039532,0.08582995951417004,1.3817370645597946
Ambience#Sanitary,Service#Queue,848,683,81,0.09551886792452831,0.06912955465587045,1.3817370645597944
Service#Hospitality,Price#Discount,1284,228,81,0.0630841121495327,0.023076923076923078,2.733644859813084
Price#Discount,Food#Portion,228,1787,76,0.3333333333333333,0.18087044534412955,1.8429397500466331
Food#Portion,Price#Discount,1787,228,76,0.042529378847229994,0.023076923076923078,1.842939750046633
Ambience#Decoration,Price#Cost_effective,424,637,75,0.17688679245283018,0.06447368421052632,2.7435502502887945
Ambience#Noise,Service#Timely,513,907,75,0.14619883040935672,0.09180161943319838,1.5925517579321327
Price#Cost_effective,Ambience#Decoration,637,424,75,0.11773940345368916,0.04291497975708502,2.7435502502887945
Service#Timely,Ambience#Noise,907,513,75,0.08269018743109151,0.051923076923076926,1.5925517579321327
Food#Recommend,Service#Timely,438,907,74,0.1689497716894977,0.09180161943319838,1.8403789903993797
Service#Timely,Food#Recommend,907,438,74,0.08158765159867695,0.04433198380566802,1.8403789903993797
Ambience#Noise,Price#Cost_effective,513,637,70,0.1364522417153996,0.06447368421052632,2.1164021164021163
Price#Cost_effective,Ambience#Noise,637,513,70,0.10989010989010989,0.051923076923076926,2.1164021164021163
Price#Cost_effective,Service#Queue,637,683,69,0.10832025117739404,0.06912955465587045,1.5669166641766514
Service#Queue,Price#Cost_effective,683,637,69,0.10102489019033675,0.06447368421052632,1.5669166641766514
Food#Taste,Ambience#Space,503,774,68,0.13518886679920478,0.07834008097165993,1.7256666718038025
Ambience#Space,Food#Taste,774,503,68,0.08785529715762273,0.05091093117408907,1.7256666718038023
Location#Easy_to_find,Service#Hospitality,629,1284,66,0.10492845786963434,0.12995951417004048,0.8073934297133858
Service#Hospitality,Location#Easy_to_find,1284,629,66,0.0514018691588785,0.06366396761133604,0.8073934297133857
Ambience#Decoration,Food#Taste,424,503,65,0.15330188679245282,0.05091093117408907,3.011178213736449
Food#Taste,Ambience#Decoration,503,424,65,0.12922465208747516,0.04291497975708502,3.0111782137364496
Price#Discount,Price#Cost_effective,228,637,62,0.2719298245614035,0.06447368421052632,4.217687074829931
Ambience#Noise,Service#Queue,513,683,62,0.12085769980506822,0.06912955465587045,1.7482782929342224
Price#Cost_effective,Price#Discount,637,228,62,0.09733124018838304,0.023076923076923078,4.217687074829931
Service#Queue,Ambience#Noise,683,513,62,0.09077598828696926,0.051923076923076926,1.7482782929342227
Location#Easy_to_find,Ambience#Sanitary,629,848,61,0.09697933227344992,0.08582995951417004,1.1299007109217987
Ambience#Sanitary,Location#Easy_to_find,848,629,61,0.07193396226415094,0.06366396761133604,1.1299007109217984
Food#Recommend,Ambience#Space,438,774,60,0.136986301369863,0.07834008097165993,1.7486106686488971
Ambience#Space,Food#Recommend,774,438,60,0.07751937984496124,0.04433198380566802,1.7486106686488974
Ambience#Decoration,Service#Timely,424,907,59,0.1391509433962264,0.09180161943319838,1.5157787439412536
Food#Taste,Ambience#Noise,503,513,59,0.1172962226640159,0.051923076923076926,2.259038362418084
Ambience#Noise,Food#Taste,513,503,59,0.11500974658869395,0.05091093117408907,2.259038362418084
Service#Timely,Ambience#Decoration,907,424,59,0.06504961411245866,0.04291497975708502,1.5157787439412538
Location#Transportation,Price#Level,253,1873,58,0.22924901185770752,0.1895748987854251,1.2092793577971972
Price#Level,Location#Transportation,1873,253,58,0.030966364121729845,0.025607287449392713,1.209279357797197
Location#Transportation,Food#Portion,253,1787,53,0.20948616600790515,0.18087044534412955,1.1582111472625087
Food#Taste,Service#Queue,503,683,53,0.10536779324055666,0.06912955465587045,1.524207609394875
Service#Queue,Food#Taste,683,503,53,0.07759882869692533,0.05091093117408907,1.5242076093948753
Food#Portion,Location#Transportation,1787,253,53,0.02965864577504197,0.025607287449392713,1.1582111472625085
Food#Recommend,Ambience#Noise,438,513,52,0.1187214611872146,0.051923076923076926,2.2864874006426517
Ambience#Noise,Food#Recommend,513,438,52,0.10136452241715399,0.04433198380566802,2.2864874006426517
Location#Easy_to_find,Price#Cost_effective,629,637,52,0.08267090620031796,0.06447368421052632,1.2822426267804417
Location#Easy_to_find,Food#Appearance,629,922,52,0.08267090620031796,0.09331983805668016,0.8858878017995027
Price#Cost_effective,Location#Easy_to_find,637,629,52,0.08163265306122448,0.06366396761133604,1.2822426267804417
Food#Appearance,Location#Easy_to_find,922,629,52,0.05639913232104121,0.06366396761133604,0.8858878017995026
Ambience#Decoration,Location#Easy_to_find,424,629,49,0.11556603773584906,0.06366396761133604,1.8152503224645287
Location#Easy_to_find,Ambience#Decoration,629,424,49,0.07790143084260731,0.04291497975708502,1.8152503224645289
Location#Easy_to_find,Service#Timely,629,907,49,0.07790143084260731,0.09180161943319838,0.8485844947353476
Service#Timely,Location#Easy_to_find,907,629,49,0.05402425578831312,0.06366396761133604,0.8485844947353476
Ambience#Noise,Location#Easy_to_find,513,629,48,0.0935672514619883,0.06366396761133604,1.4697049991167637
Location#Easy_to_find,Ambience#Noise,629,513,48,0.07631160572337042,0.051923076923076926,1.4697049991167637
Service#Parking,Price#Level,169,1873,47,0.2781065088757396,0.1895748987854251,1.4670006981806232
Price#Discount,Food#Appearance,228,922,47,0.20614035087719298,0.09331983805668016,2.2089660159074476
Food#Appearance,Price#Discount,922,228,47,0.0509761388286334,0.023076923076923078,2.208966015907447
Price#Level,Service#Parking,1873,169,47,0.025093432995194873,0.017105263157894738,1.4670006981806232
Ambience#Decoration,Food#Recommend,424,438,46,0.10849056603773585,0.04433198380566802,2.44723011975532
Food#Recommend,Ambience#Decoration,438,424,46,0.1050228310502283,0.04291497975708502,2.44723011975532
Food#Recommend,Service#Queue,438,683,45,0.10273972602739725,0.06912955465587045,1.4861910587857756
Service#Queue,Food#Recommend,683,438,45,0.06588579795021962,0.04433198380566802,1.4861910587857758
Price#Discount,Service#Timely,228,907,44,0.19298245614035087,0.09180161943319838,2.1021683204704154
Service#Timely,Price#Discount,907,228,44,0.04851157662624035,0.023076923076923078,2.1021683204704154
Price#Discount,Food#Taste,228,503,42,0.18421052631578946,0.05091093117408907,3.6182902584493037
Food#Taste,Price#Discount,503,228,42,0.08349900596421471,0.023076923076923078,3.6182902584493037
Ambience#Decoration,Service#Queue,424,683,37,0.08726415094339622,0.06912955465587045,1.2623276886101824
Service#Queue,Ambience#Decoration,683,424,37,0.05417276720351391,0.04291497975708502,1.2623276886101826
Service#Parking,Food#Portion,169,1787,34,0.20118343195266272,0.18087044534412955,1.1123068313890923
Food#Portion,Service#Parking,1787,169,34,0.019026301063234472,0.017105263157894738,1.1123068313890923
Location#Transportation,Food#Appearance,253,922,31,0.1225296442687747,0.09331983805668016,1.3130074678692993
Location#Transportation,Service#Hospitality,253,1284,31,0.1225296442687747,0.12995951417004048,0.9428293499809144
Location#Easy_to_find,Service#Queue,629,683,31,0.0492845786963434,0.06912955465587045,0.7129306552267537
Service#Queue,Location#Easy_to_find,683,629,31,0.04538799414348463,0.06366396761133604,0.7129306552267537
Food#Appearance,Location#Transportation,922,253,31,0.033622559652928416,0.025607287449392713,1.3130074678692993
Service#Hospitality,Location#Transportation,1284,253,31,0.024143302180685357,0.025607287449392713,0.9428293499809143
Location#Downtown,Price#Level,118,1873,29,0.2457627118644068,0.1895748987854251,1.2963884640791987
Food#Recommend,Location#Easy_to_find,438,629,29,0.06621004566210045,0.06366396761133604,1.0399924501455524
Location#Easy_to_find,Food#Recommend,629,438,29,0.046104928457869634,0.04433198380566802,1.0399924501455524
Price#Level,Location#Downtown,1873,118,29,0.015483182060864922,0.01194331983805668,1.2963884640791985
Price#Discount,Ambience#Space,228,774,27,0.11842105263157894,0.07834008097165993,1.511627906976744
Ambience#Space,Price#Discount,774,228,27,0.03488372093023256,0.023076923076923078,1.511627906976744
Location#Transportation,Ambience#Space,253,774,26,0.10276679841897234,0.07834008097165993,1.3118035767176313
Ambience#Space,Location#Transportation,774,253,26,0.03359173126614987,0.025607287449392713,1.3118035767176313
Price#Discount,Ambience#Sanitary,228,848,25,0.10964912280701754,0.08582995951417004,1.2775157232704402
Ambience#Sanitary,Price#Discount,848,228,25,0.0294811320754717,0.023076923076923078,1.2775157232704402
Location#Transportation,Price#Cost_effective,253,637,24,0.09486166007905138,0.06447368421052632,1.471323707348552
Price#Cost_effective,Location#Transportation,637,253,24,0.03767660910518053,0.025607287449392713,1.471323707348552
Service#Parking,Location#Easy_to_find,169,629,23,0.13609467455621302,0.06366396761133604,2.137703314173902
Location#Transportation,Ambience#Sanitary,253,848,23,0.09090909090909091,0.08582995951417004,1.0591766723842195
Location#Easy_to_find,Service#Parking,629,169,23,0.03656597774244833,0.017105263157894738,2.137703314173902
Ambience#Sanitary,Location#Transportation,848,253,23,0.027122641509433963,0.025607287449392713,1.0591766723842195
Location#Downtown,Food#Portion,118,1787,22,0.1864406779661017,0.18087044534412955,1.0307968093481168
Location#Transportation,Service#Timely,253,907,22,0.08695652173913043,0.09180161943319838,0.9472220890657207
Service#Timely,Location#Transportation,907,253,22,0.024255788313120176,0.025607287449392713,0.9472220890657207
Food#Portion,Location#Downtown,1787,118,22,0.012311135982092894,0.01194331983805668,1.0307968093481168
Price#Discount,Ambience#Noise,228,513,20,0.08771929824561403,0.051923076923076926,1.6894087069525665
Price#Discount,Service#Queue,228,683,20,0.08771929824561403,0.06912955465587045,1.2689116642264517
Ambience#Noise,Price#Discount,513,228,20,0.03898635477582846,0.023076923076923078,1.6894087069525665
Service#Queue,Price#Discount,683,228,20,0.029282576866764276,0.023076923076923078,1.268911664226452
Service#Parking,Ambience#Space,169,774,19,0.11242603550295859,0.07834008097165993,1.4351023653349235
Ambience#Space,Service#Parking,774,169,19,0.02454780361757106,0.017105263157894738,1.4351023653349235
Service#Parking,Location#Transportation,169,253,17,0.10059171597633136,0.025607287449392713,3.928245667376102
Price#Discount,Food#Recommend,228,438,17,0.07456140350877193,0.04433198380566802,1.6818873668188736
Location#Transportation,Service#Parking,253,169,17,0.06719367588932806,0.017105263157894738,3.928245667376102
Food#Recommend,Price#Discount,438,228,17,0.03881278538812785,0.023076923076923078,1.6818873668188734
Service#Parking,Price#Cost_effective,169,637,16,0.09467455621301775,0.06447368421052632,1.4684216882019079
Service#Parking,Service#Hospitality,169,1284,16,0.09467455621301775,0.12995951417004048,0.7284926911095135
Location#Transportation,Ambience#Decoration,253,424,16,0.06324110671936758,0.04291497975708502,1.4736371094041316
Location#Transportation,Ambience#Noise,253,513,16,0.06324110671936758,0.051923076923076926,1.2179768701507832
Ambience#Decoration,Location#Transportation,424,253,16,0.03773584905660377,0.025607287449392713,1.4736371094041314
Food#Taste,Location#Easy_to_find,503,629,16,0.03180914512922465,0.06366396761133604,0.499641262125182
Ambience#Noise,Location#Transportation,513,253,16,0.031189083820662766,0.025607287449392713,1.2179768701507832
Location#Easy_to_find,Food#Taste,629,503,16,0.025437201907790145,0.05091093117408907,0.4996412621251822
Price#Cost_effective,Service#Parking,637,169,16,0.02511773940345369,0.017105263157894738,1.4684216882019079
Service#Hospitality,Service#Parking,1284,169,16,0.012461059190031152,0.017105263157894738,0.7284926911095134
Location#Downtown,Food#Appearance,118,922,15,0.1271186440677966,0.09331983805668016,1.3621824331776904
Food#Appearance,Location#Downtown,922,118,15,0.016268980477223426,0.01194331983805668,1.3621824331776902
Location#Transportation,Food#Recommend,253,438,14,0.05533596837944664,0.04433198380566802,1.2482177342213077
Food#Recommend,Location#Transportation,438,253,14,0.0319634703196347,0.025607287449392713,1.2482177342213077
Location#Downtown,Price#Cost_effective,118,637,13,0.11016949152542373,0.06447368421052632,1.7087512971290209
Location#Transportation,Food#Taste,253,503,13,0.05138339920948617,0.05091093117408907,1.0092802866594897
Location#Transportation,Service#Queue,253,683,13,0.05138339920948617,0.06912955465587045,0.7432913384915422
Food#Taste,Location#Transportation,503,253,13,0.02584493041749503,0.025607287449392713,1.0092802866594897
Price#Cost_effective,Location#Downtown,637,118,13,0.02040816326530612,0.01194331983805668,1.7087512971290209
Service#Queue,Location#Transportation,683,253,13,0.01903367496339678,0.025607287449392713,0.7432913384915422
Location#Downtown,Service#Hospitality,118,1284,12,0.1016949152542373,0.12995951417004048,0.7825122762553463
Service#Parking,Ambience#Sanitary,169,848,12,0.07100591715976332,0.08582995951417004,0.8272859216255444
Service#Parking,Food#Appearance,169,922,12,0.07100591715976332,0.09331983805668016,0.7608877023193726
Ambience#Sanitary,Service#Parking,848,169,12,0.014150943396226415,0.017105263157894738,0.8272859216255443
Food#Appearance,Service#Parking,922,169,12,0.013015184381778741,0.017105263157894738,0.7608877023193725
Service#Hospitality,Location#Downtown,1284,118,12,0.009345794392523364,0.01194331983805668,0.782512276255346
Location#Downtown,Ambience#Sanitary,118,848,11,0.09322033898305085,0.08582995951417004,1.0861048928685642
Service#Parking,Food#Taste,169,503,11,0.0650887573964497,0.05091093117408907,1.2784829484630678
Price#Discount,Ambience#Decoration,228,424,11,0.04824561403508772,0.04291497975708502,1.1242138364779874
Ambience#Decoration,Price#Discount,424,228,11,0.025943396226415096,0.023076923076923078,1.1242138364779874
Food#Taste,Service#Parking,503,169,11,0.02186878727634195,0.017105263157894738,1.2784829484630678
Ambience#Sanitary,Location#Downtown,848,118,11,0.012971698113207548,0.01194331983805668,1.0861048928685642
Service#Parking,Food#Recommend,169,438,10,0.05917159763313609,0.04433198380566802,1.3347383210396908
Service#Parking,Service#Queue,169,683,10,0.05917159763313609,0.06912955465587045,0.8559522468746479
Food#Recommend,Service#Parking,438,169,10,0.0228310502283105,0.017105263157894738,1.3347383210396908
Service#Queue,Service#Parking,683,169,10,0.014641288433382138,0.017105263157894738,0.855952246874648
Service#Parking,Service#Timely,169,907,9,0.05325443786982249,0.09180161943319838,0.5801034687473496
Service#Timely,Service#Parking,907,169,9,0.009922822491730982,0.017105263157894738,0.5801034687473496
Location#Downtown,Ambience#Space,118,774,8,0.06779661016949153,0.07834008097165993,0.8654140936364034
Location#Downtown,Service#Timely,118,907,8,0.06779661016949153,0.09180161943319838,0.7385121372376806
